ESI	|	OPERACION
ESI11	|	GET memory:leaks 
ESI11	|	GET key1 
ESI11	|	GET key1 
ESI11	|	SET nofunciona unachota
ESI11	|	GET nofunciona 
ESI11	|	GET planificador:de:mierda 
ESI11	|	GET memory:leaks 
ESI11	|	GET key1 
ESI11	|	SET nofunciona unachota
ESI12	|	GET nofunciona 
ESI12	|	GET planificador:de:mierda 
ESI12	|	GET memory:leaks 
ESI12	|	GET key1 
ESI12	|	SET nofunciona unachota
ESI11	|	GET nofunciona 
ESI11	|	GET planificador:de:mierda 
ESI11	|	GET memory:leaks 
ESI11	|	GET key1 
ESI11	|	SET nofunciona unachota
ESI12	|	GET nofunciona 
ESI12	|	GET planificador:de:mierda 
ESI12	|	GET memory:leaks 
ESI12	|	GET key1 
ESI12	|	SET nofunciona unachota
ESI11	|	GET nofunciona 
ESI11	|	GET planificador:de:mierda 
ESI11	|	GET memory:leaks 
ESI11	|	GET key1 
ESI11	|	SET nofunciona unachota
ESI12	|	GET nofunciona 
ESI12	|	GET planificador:de:mierda 
ESI12	|	GET memory:leaks 
ESI12	|	GET key1 
ESI12	|	SET nofunciona unachota
ESI11	|	GET nofunciona 
ESI11	|	GET planificador:de:mierda 
ESI11	|	GET memory:leaks 
ESI11	|	GET key1 
ESI11	|	SET nofunciona unachota
ESI12	|	GET nofunciona 
ESI12	|	GET planificador:de:mierda 
ESI12	|	GET memory:leaks 
ESI12	|	GET key1 
ESI12	|	SET nofunciona unachota
ESI13	|	GET nofunciona 
ESI13	|	GET planificador:de:mierda 
ESI13	|	GET memory:leaks 
ESI13	|	GET key1 
ESI13	|	SET nofunciona unachota
ESI14	|	GET nofunciona 
ESI14	|	GET planificador:de:mierda 
ESI14	|	GET memory:leaks 
ESI14	|	GET key1 
ESI14	|	SET nofunciona unachota
ESI15	|	GET nofunciona 
ESI15	|	GET planificador:de:mierda 
ESI15	|	GET memory:leaks 
ESI15	|	GET key1 
ESI15	|	SET nofunciona unachota
ESI16	|	GET nofunciona 
ESI16	|	GET planificador:de:mierda 
ESI16	|	GET memory:leaks 
ESI16	|	GET key1 
ESI16	|	SET nofunciona unachota
ESI17	|	GET nofunciona 
ESI17	|	GET planificador:de:mierda 
ESI17	|	GET memory:leaks 
ESI17	|	GET key1 
ESI17	|	SET nofunciona unachota
ESI18	|	GET nofunciona 
ESI18	|	GET planificador:de:mierda 
ESI18	|	GET memory:leaks 
ESI18	|	GET key1 
ESI18	|	SET nofunciona unachota
ESI19	|	GET nofunciona 
ESI19	|	GET planificador:de:mierda 
ESI19	|	GET memory:leaks 
ESI19	|	GET key1 
ESI19	|	SET nofunciona unachota
ESI20	|	GET nofunciona 
ESI20	|	GET planificador:de:mierda 
ESI20	|	GET memory:leaks 
ESI20	|	GET key1 
ESI20	|	SET nofunciona unachota
ESI11	|	GET nofunciona 
ESI11	|	GET planificador:de:mierda 
ESI11	|	GET memory:leaks 
ESI11	|	GET key1 
ESI11	|	SET nofunciona unachota
ESI11	|	STORE nofunciona 
ESI12	|	GET nofunciona 
ESI12	|	GET planificador:de:mierda 
ESI12	|	GET memory:leaks 
ESI12	|	GET key1 
ESI12	|	SET nofunciona unachota
ESI12	|	STORE nofunciona 
ESI13	|	GET nofunciona 
ESI13	|	GET planificador:de:mierda 
ESI13	|	GET memory:leaks 
ESI13	|	GET key1 
ESI13	|	SET nofunciona unachota
ESI13	|	STORE nofunciona 
ESI14	|	GET nofunciona 
ESI14	|	GET planificador:de:mierda 
ESI14	|	GET memory:leaks 
ESI14	|	GET key1 
ESI14	|	SET nofunciona unachota
ESI14	|	STORE nofunciona 
ESI15	|	GET pruebebeba 
ESI15	|	GET soylomax 
ESI15	|	GET gana:croacia 
ESI15	|	GET aguante:las:rusas 
ESI15	|	GET te:pruebo:todos 
ESI15	|	GET barra:cero 
ESI15	|	GET key2 
ESI15	|	GET key4 
ESI16	|	GET nofunciona 
ESI16	|	GET planificador:de:mierda 
ESI16	|	GET memory:leaks 
ESI16	|	GET key1 
ESI16	|	SET nofunciona unachota
ESI16	|	SET nofunciona APA
ESI16	|	STORE nofunciona 
ESI17	|	SET key2 deberiamorir
ESI20	|	SET key2 deberiamorir
ESI21	|	GET nofunciona 
ESI21	|	GET planificador:de:mierda 
ESI21	|	GET memory:leaks 
ESI21	|	GET key1 
ESI22	|	SET key2 deberiamorir
ESI21	|	GET key1 
ESI21	|	SET nofunciona unachota
ESI21	|	SET nofunciona APA
ESI21	|	STORE nofunciona 
ESI23	|	GET nofunciona 
ESI23	|	GET planificador:de:mierda 
ESI23	|	GET memory:leaks 
ESI23	|	GET key1 
ESI23	|	SET nofunciona unachota
ESI23	|	SET nofunciona APA
ESI23	|	STORE nofunciona 
ESI24	|	SET key2 deberiamorir
ESI11	|	GET nofunciona 
ESI11	|	GET planificador:de:mierda 
ESI11	|	GET memory:leaks 
ESI11	|	GET key1 
ESI12	|	SET key2 deberiamorir
ESI11	|	GET key1 
ESI11	|	SET nofunciona unachota
ESI11	|	SET nofunciona APA
ESI11	|	STORE nofunciona 
ESI13	|	SET key2 deberiamorir
ESI11	|	GET nofunciona 
ESI11	|	GET planificador:de:mierda 
ESI11	|	GET memory:leaks 
ESI11	|	GET key1 
ESI11	|	SET nofunciona unachota
ESI11	|	SET nofunciona APA
ESI11	|	STORE nofunciona 
ESI12	|	SET key2 deberiamorir
ESI13	|	SET key2 deberiamorir
ESI14	|	SET key2 deberiamorir
ESI15	|	GET nofunciona 
ESI15	|	GET planificador:de:mierda 
ESI15	|	GET memory:leaks 
ESI15	|	GET key1 
ESI15	|	SET nofunciona unachota
ESI15	|	SET nofunciona APA
ESI15	|	STORE nofunciona 
ESI16	|	SET key2 deberiamorir
ESI17	|	SET key2 deberiamorir
ESI18	|	GET nofunciona 
ESI18	|	GET planificador:de:mierda 
ESI18	|	GET memory:leaks 
ESI18	|	GET key1 
ESI18	|	SET nofunciona unachota
ESI18	|	SET nofunciona APA
ESI18	|	STORE nofunciona 
ESI19	|	SET key2 deberiamorir
ESI20	|	SET key2 deberiamorir
